App name,Date,Duration,Check phone count of all Apps,Total screen time of all Apps,App total Usage time,App total Access count,App total Average Screen time,User_Engagement_Level
Amazon Kindle,2019-08-27,9.0,60.0,0 days 04:49:13,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-28,19.0,73.0,0 days 05:32:34,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-29,23.0,58.0,0 days 03:56:34,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-02,4.0,70.0,0 days 07:21:15,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-09-03,7.0,79.0,0 days 06:04:16,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-04,2.0,55.0,0 days 05:16:44,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-12,2.0,70.0,0 days 04:35:26,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-13,10.0,93.0,0 days 07:41:37,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-09-15,21.0,68.0,0 days 05:17:22,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-16,3.0,60.0,0 days 05:25:12,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-17,2.0,81.0,0 days 06:35:45,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-09-18,4.0,100.0,0 days 04:55:35,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-19,9.0,71.0,0 days 04:56:16,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-23,6.0,83.0,0 days 03:43:51,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-24,20.0,70.0,0 days 05:24:17,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-26,27.0,103.0,0 days 06:03:26,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-28,8.0,63.0,0 days 06:04:37,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-29,15.0,100.0,0 days 05:24:17,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-09-30,1.0,63.0,0 days 05:12:23,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-10-01,45.0,68.0,0 days 06:18:51,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-10-02,5.0,80.0,0 days 08:09:54,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-10-03,24.0,77.0,0 days 07:37:37,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-10-04,5.0,90.0,0 days 04:28:53,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-10-09,1.0,60.0,0 days 06:45:04,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-10-17,8.0,84.0,0 days 07:00:45,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-10-24,3.0,91.0,0 days 07:37:49,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-11-10,17.0,62.0,0 days 06:58:54,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-11-11,20.0,78.0,0 days 05:56:43,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-11-13,10.0,76.0,0 days 05:05:49,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-11-14,13.0,70.0,0 days 05:34:35,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-11-16,12.0,77.0,0 days 05:55:52,26:26:56,411.0,0:3:51,Moderately Engaged
