App name,Date,Duration
Camera,2019-06-09,1.0
Camera,2019-06-14,4.0
Camera,2019-06-19,1.0
Camera,2019-06-22,1.0
Camera,2019-06-26,3.0
Camera,2019-07-01,7.0
Camera,2019-08-04,4.0
Camera,2019-08-11,1.0
Camera,2019-08-26,1.0
Camera,2019-08-28,4.0
Camera,2019-08-29,1.0
Camera,2019-09-01,3.0
Camera,2019-09-06,2.0
Camera,2019-09-08,1.0
Camera,2019-09-09,1.0
Camera,2019-09-10,2.0
Camera,2019-09-13,1.0
Camera,2019-09-15,6.0
Camera,2019-09-22,1.0
Camera,2019-09-26,1.0
Camera,2019-09-27,4.0
Camera,2019-09-29,1.0
Camera,2019-10-18,1.0
Camera,2019-10-21,2.0
Camera,2019-10-27,1.0
Camera,2019-11-25,2.0
Canva,2019-07-03,4.0
Canva,2019-07-07,2.0
Canva,2019-07-09,4.0
Canva,2019-08-04,4.0
Canva,2019-09-30,3.0
Canva,2019-10-01,7.0
Chrome,2019-05-18,1.0
Chrome,2019-05-22,5.0
Chrome,2019-05-23,1.0
Chrome,2019-05-24,6.0
Chrome,2019-05-25,5.0
Chrome,2019-05-26,5.0
Chrome,2019-05-28,2.0
Chrome,2019-05-29,1.0
Chrome,2019-05-30,4.0
Chrome,2019-05-31,2.0
Chrome,2019-06-01,7.0
Chrome,2019-06-03,9.0
Chrome,2019-06-04,25.0
Chrome,2019-06-05,1.0
Chrome,2019-06-06,5.0
Chrome,2019-06-07,2.0
Chrome,2019-06-08,8.0
Chrome,2019-06-09,19.0
Chrome,2019-06-11,3.0
Chrome,2019-06-12,1.0
Chrome,2019-06-13,10.0
Chrome,2019-06-14,4.0
Chrome,2019-06-15,32.0
Chrome,2019-06-16,27.0
Chrome,2019-06-17,6.0
Chrome,2019-06-18,1.0
Chrome,2019-06-19,2.0
Chrome,2019-06-20,4.0
Chrome,2019-06-21,7.0
Chrome,2019-06-22,1.0
Chrome,2019-06-23,7.0
Chrome,2019-06-25,9.0
Chrome,2019-06-26,1.0
Chrome,2019-06-27,4.0
Chrome,2019-06-28,13.0
Chrome,2019-06-29,7.0
Chrome,2019-06-30,30.0
Chrome,2019-07-02,48.0
Chrome,2019-07-03,25.0
Chrome,2019-07-04,14.0
Chrome,2019-07-05,5.0
Chrome,2019-07-06,9.0
Chrome,2019-07-07,3.0
Chrome,2019-07-09,6.0
Chrome,2019-07-10,56.0
Chrome,2019-07-11,7.0
Chrome,2019-07-13,13.0
Chrome,2019-07-14,5.0
Chrome,2019-07-15,1.0
Chrome,2019-07-18,5.0
Chrome,2019-07-19,2.0
Chrome,2019-07-20,2.0
Chrome,2019-07-21,3.0
Chrome,2019-07-23,2.0
Chrome,2019-07-24,1.0
Chrome,2019-07-25,5.0
Chrome,2019-07-27,1.0
Chrome,2019-07-28,1.0
Chrome,2019-07-29,1.0
Chrome,2019-07-30,22.0
Chrome,2019-07-31,1.0
Chrome,2019-08-01,4.0
Chrome,2019-08-02,2.0
Chrome,2019-08-03,1.0
Chrome,2019-08-04,20.0
Chrome,2019-08-05,3.0
Chrome,2019-08-06,4.0
Chrome,2019-08-07,3.0
Chrome,2019-08-08,6.0
Chrome,2019-08-09,13.0
Chrome,2019-08-13,10.0
Chrome,2019-08-14,3.0
Chrome,2019-08-15,10.0
Chrome,2019-08-16,4.0
Chrome,2019-08-18,9.0
Chrome,2019-08-21,2.0
Chrome,2019-08-22,6.0
Chrome,2019-08-23,9.0
Chrome,2019-08-24,2.0
Chrome,2019-08-25,7.0
Chrome,2019-08-26,3.0
Chrome,2019-08-27,5.0
Chrome,2019-08-29,8.0
Chrome,2019-08-30,2.0
Chrome,2019-08-31,6.0
Chrome,2019-09-01,7.0
Chrome,2019-09-02,3.0
Chrome,2019-09-03,1.0
Chrome,2019-09-04,3.0
Chrome,2019-09-06,12.0
Chrome,2019-09-07,2.0
Chrome,2019-09-08,4.0
Chrome,2019-09-09,1.0
Chrome,2019-09-13,12.0
Chrome,2019-09-14,2.0
Chrome,2019-09-15,14.0
Chrome,2019-09-17,10.0
Chrome,2019-09-18,4.0
Chrome,2019-09-20,19.0
Chrome,2019-09-21,5.0
Chrome,2019-09-22,6.0
Chrome,2019-09-23,1.0
Chrome,2019-09-24,2.0
Chrome,2019-09-25,3.0
Chrome,2019-09-26,3.0
Chrome,2019-09-27,9.0
Chrome,2019-09-28,2.0
Chrome,2019-09-29,12.0
Chrome,2019-09-30,4.0
Chrome,2019-10-01,36.0
Chrome,2019-10-02,14.0
Chrome,2019-10-03,21.0
Chrome,2019-10-04,11.0
Chrome,2019-10-05,1.0
Chrome,2019-10-06,10.0
Chrome,2019-10-07,1.0
Chrome,2019-10-09,9.0
Chrome,2019-10-10,10.0
Chrome,2019-10-11,6.0
Chrome,2019-10-12,10.0
Chrome,2019-10-13,4.0
Chrome,2019-10-14,8.0
Chrome,2019-10-15,15.0
Chrome,2019-10-17,3.0
Chrome,2019-10-21,6.0
Chrome,2019-10-22,3.0
Chrome,2019-10-23,4.0
Chrome,2019-10-24,8.0
Chrome,2019-10-26,2.0
Chrome,2019-10-29,2.0
Chrome,2019-10-30,1.0
Chrome,2019-10-31,6.0
Chrome,2019-11-03,1.0
Chrome,2019-11-04,3.0
Chrome,2019-11-05,18.0
Chrome,2019-11-06,1.0
Chrome,2019-11-09,4.0
Chrome,2019-11-10,2.0
Chrome,2019-11-13,2.0
Chrome,2019-11-14,1.0
Chrome,2019-11-15,1.0
Chrome,2019-11-17,1.0
Chrome,2019-11-18,4.0
Chrome,2019-11-19,10.0
Chrome,2019-11-22,2.0
Chrome,2019-11-23,6.0
Clock,2019-05-20,6.0
Clock,2019-06-05,2.0
Clock,2019-06-18,6.0
Clock,2019-06-24,2.0
Clock,2019-07-08,2.0
Clock,2019-07-31,1.0
Clock,2019-08-03,5.0
Clock,2019-08-24,2.0
Clock,2019-09-30,1.0
Clock,2019-11-16,4.0
Clock,2019-11-20,2.0
Clock,2019-11-21,2.0
Contacts,2019-07-20,9.0
Contacts,2019-08-08,16.0
Contacts,2019-08-15,4.0
Contacts,2019-09-08,3.0
Crossword,2019-09-09,11.0
Crossword,2019-09-11,13.0
Crossword,2019-09-12,8.0
Deepstash,2019-10-15,2.0
Device boot,2019-05-27,1.0
Device boot,2019-06-14,238.0
Device boot,2019-06-22,203.0
Device boot,2019-07-02,193.0
Device maintenance,2019-06-12,2.0
Device maintenance,2019-07-08,1.0
Device maintenance,2019-09-06,2.0
Device shutdown,2019-05-18,1.0
Device shutdown,2019-05-19,2.0
Device shutdown,2019-05-20,3.0
Device shutdown,2019-05-21,3.0
Device shutdown,2019-05-22,2.0
Device shutdown,2019-05-23,1.0
Device shutdown,2019-05-24,2.0
Device shutdown,2019-05-25,292.0
Device shutdown,2019-05-26,1.0
Device shutdown,2019-05-27,4.0
Device shutdown,2019-05-28,1.0
Device shutdown,2019-05-29,4.0
Device shutdown,2019-05-30,5.0
Device shutdown,2019-05-31,3.0
Device shutdown,2019-06-01,17.0
Device shutdown,2019-06-02,4.0
Device shutdown,2019-06-04,2.0
Device shutdown,2019-06-05,4.0
Device shutdown,2019-06-07,4.0
Device shutdown,2019-06-08,4.0
Device shutdown,2019-06-10,2.0
Device shutdown,2019-06-11,2.0
Device shutdown,2019-06-12,2.0
Device shutdown,2019-06-14,8.0
Device shutdown,2019-06-15,2.0
Device shutdown,2019-06-16,4.0
Device shutdown,2019-06-17,3.0
Device shutdown,2019-06-18,4.0
Device shutdown,2019-06-19,2.0
Device shutdown,2019-06-20,3.0
Device shutdown,2019-06-22,11.0
Device shutdown,2019-06-23,2.0
Device shutdown,2019-06-24,2.0
Device shutdown,2019-06-25,2.0
Device shutdown,2019-06-26,2.0
Device shutdown,2019-06-27,6.0
Device shutdown,2019-06-29,2.0
Device shutdown,2019-06-30,2.0
Device shutdown,2019-07-01,3.0
Device shutdown,2019-07-02,8.0
Device shutdown,2019-07-04,395.0
Device shutdown,2019-07-17,2.0
Device shutdown,2019-07-21,48.0
Device shutdown,2019-08-17,2.0
Device shutdown,2019-08-23,3.0
Device shutdown,2019-09-05,2.0
Device shutdown,2019-09-29,3.0
Device shutdown,2019-10-08,2.0
Device shutdown,2019-10-18,367.0
Device shutdown,2019-10-19,136.0
Device shutdown,2019-11-12,2.0
Digital wellbeing,2019-06-05,2.0
Digital wellbeing,2019-06-06,2.0
Digital wellbeing,2019-06-09,2.0
Digital wellbeing,2019-06-13,2.0
Digital wellbeing,2019-07-18,1.0
Digital wellbeing,2019-10-09,2.0
Digital wellbeing,2019-10-26,2.0
Digital wellbeing,2019-10-29,2.0
Digital wellbeing,2019-11-12,3.0
Digital wellbeing,2019-11-25,1.0
Drive,2019-06-14,18.0
Drive,2019-06-19,5.0
Drive,2019-07-03,2.0
Drive,2019-07-05,3.0
Drive,2019-07-12,10.0
Drive,2019-07-13,4.0
Drive,2019-07-14,7.0
Drive,2019-07-30,2.0
